name,min_frames,max_frames,mean_frames,median_frames,threshold_frames,min_lips,max_lips,mean_lips,median_lips,threshold_lips
R_103_391,0.5173025173611111,28.546304253472222,3.7734029763525756,2.7101649305555555,7.172381400854789,0.0,1551.0,68.66666666666667,22.0,269.32115134673114
R_100_135,0.09929253472222223,0.7117220052083333,0.31920477735136454,0.3021799045138889,0.43844120058903646,0.0,174.0,51.14035087719298,37.0,93.5586680876223
R_104_335,0.2164572482638889,2.6190831163194446,0.7958044994212962,0.72595703125,1.2494173162004332,3.0,1969.0,244.6216216216216,68.0,632.6328607560927
R_105_97,0.05511176215277778,32.696842447916666,1.623548611111111,0.9911317274305556,4.781582794575037,0.0,4392.0,306.3267326732673,54.0,932.784543140393
R_10_203,1.446648220486111,5.735890842013889,2.9646358282447314,2.7154134114583335,3.9549977580646,0.0,1956.0,372.93023255813955,164.0,868.5113992775001
R_100_345,0.3134765625,72.43816514756945,1.80487392526455,0.89658203125,9.57138524028938,6.0,1352.0,302.5243902439024,185.5,623.8582423775786
R_106_320,0.3045095486111111,2.3141829427083334,1.1083741282971524,0.9402669270833334,1.7078110140959948,0.0,291.0,86.81818181818181,34.0,184.5625777810643
R_107_334,0.119833984375,18.793135850694444,1.6082807763585756,0.9293717447916667,4.038416511718574,0.0,324.0,26.175824175824175,10.0,77.43332824324665
R_107_437,0.5102528211805556,2.5699696180555556,1.6241057084369817,1.536467013888889,2.1012757361282155,0.0,22.0,5.464285714285714,4.5,10.752291974123313
R_100_128,0.10105685763888889,0.5813498263888889,0.3183347077546297,0.30937391493055555,0.4436517310423344,0.0,136.0,30.91111111111111,16.0,64.76492902954271
R_101_206,0.1395703125,3.4460731336805557,1.0115330428306504,0.5635639105902778,1.8551630284151135,0.0,3559.0,166.54545454545453,35.0,627.2381372894768
R_105_210,0.07059461805555556,17.435262586805557,1.0109524559890306,0.9606673177083334,2.4246704820578615,0.0,5706.0,405.4375,138.0,1216.3322525204358
R_106_364,1.1515549045138889,5.534408637152778,2.747908722886661,2.5378461371527776,3.7118989874785866,0.0,1165.0,161.37777777777777,80.0,385.8925918288667
R_10_122,1.9405414496527778,7.2210883246527775,4.036795188969018,3.8367860243055554,5.163389171527946,1.0,1103.0,154.85714285714286,100.0,368.11336829282584
R_105_60,0.05563368055555556,60.37422960069444,2.2093374794407894,1.1675726996527778,10.009042809034405,5.0,3346.0,477.475,152.0,1180.5150055295576
R_107_434,1.0138118489583334,11.992537977430555,4.048477511935764,2.8188020833333334,6.829017373556702,67.0,168.0,127.5,137.5,165.06660751252366
R_106_213,0.13106770833333334,59.38999674479167,1.3801922075320514,0.37786892361111113,8.649456242906155,2.0,35.0,22.333333333333332,30.0,36.85534727386131
R_100_30,0.11754665798611111,33.34842122395833,0.861749760791509,0.49358723958333334,4.351714312560983,0.0,465.0,42.241379310344826,19.0,114.26148594048696
R_101_378,0.10390299479166666,32.33782118055556,1.5234425586685827,1.2476280381944445,4.181461115785143,40.0,4426.0,826.65625,430.0,1822.9069905698314
R_10_273,0.6090635850694445,4.817272135416666,2.1316049546588456,1.8400716145833333,3.053926855709186,1.0,2790.0,386.8529411764706,138.5,910.4460026850975
R_100_150,0.4191015625,29.207705078125,1.5586039299242427,1.0066080729166667,5.341235057368682,0.0,379.0,59.132075471698116,26.0,142.7676365947734
R_106_141,0.34789822048611113,1.0594563802083334,0.6515880117490311,0.6016417100694444,0.8280015098618636,5.0,707.0,160.09756097560975,107.0,314.04430578677363
R_104_425,0.2900922309027778,53.55367947048611,1.9190195820404852,0.7330805121527778,9.53713388279888,1.0,858.0,113.57777777777778,11.0,331.18757013187906
R_101_107,0.011784939236111111,42.36303602430556,1.895992662217882,1.082702907986111,6.674402779250231,0.0,1765.0,86.17777777777778,4.0,406.80946602173924
R_106_243,0.04119683159722222,41.39798177083333,0.9389970296223957,0.4086518012152778,5.496298254760687,0.0,54.0,9.914285714285715,6.5,20.148322562181157
R_100_302,0.04060329861111111,41.285390625,0.9668169550207533,0.47991970486111113,5.322409864456278,0.0,298.0,20.627906976744185,8.5,63.40859336882295
R_104_31,0.28985026041666667,52.796016710069445,3.534437795663219,1.6497037760416666,10.394096322548437,0.0,18.0,5.51,4.0,9.821600630856246
