link,id,parsed
https://www.youtube.com/watch?v=nK9kJNmf75Q,77,True
https://www.youtube.com/watch?v=mY0Pz2tPwbI,78,True
https://www.youtube.com/watch?v=z6eq5fHNMIE&t=203s,79,True
https://www.youtube.com/watch?v=NVYce_TUge0,80,True
https://www.youtube.com/watch?v=xV3Se7qISgA,81,True
https://www.youtube.com/watch?v=aUwvoAwxxYE&t=4s,82,True
https://www.youtube.com/watch?v=YPhepSK5TGk,83,True
https://www.youtube.com/watch?v=FUiwc4svEQI&list=PLpVBfBQmVoLWyIa9xZK8tVcR0u29T5sDe,84,True
https://www.youtube.com/watch?v=HfIp1txJhZs&list=PLpVBfBQmVoLWyIa9xZK8tVcR0u29T5sDe&index=2,85,True
https://www.youtube.com/watch?v=1pxOi1ek-5Q&list=PLpVBfBQmVoLWyIa9xZK8tVcR0u29T5sDe&index=5,86,True
https://www.youtube.com/watch?v=vDDlbvuWgTY&list=PLpVBfBQmVoLWyIa9xZK8tVcR0u29T5sDe&index=6,87,True
https://www.youtube.com/watch?v=PCnxHjIAysg&list=PLpVBfBQmVoLWyIa9xZK8tVcR0u29T5sDe&index=7,88,True
https://www.youtube.com/watch?v=nGIv7nlfMI4&list=PLpVBfBQmVoLWyIa9xZK8tVcR0u29T5sDe&index=8,89,True
https://www.youtube.com/watch?v=svy3Kyp3PR0,90,True
https://www.youtube.com/watch?v=SmTEVc9LMU4,91,True
https://www.youtube.com/watch?v=gbOaKueFXjQ,92,True
https://www.youtube.com/watch?v=rBi47QMocgo,93,True
https://www.youtube.com/watch?v=UjRz1qPeXUA,94,True
https://www.youtube.com/watch?v=gbxq7-B0CFs,95,True
https://www.youtube.com/watch?v=pAY4oxl8XAA,96,True
https://youtu.be/5YqVwysY2mI?si=bdTTxCQR8fUaVi3W,97,True
https://youtu.be/wSKtq8rSdD4?si=70o9UxXgVhntgSc-,98,True
https://youtu.be/-FbhD0Z3Wkk?si=UUwX8hO0STm1T16B,99,True
https://youtu.be/iCI_y9ywVso?si=wtMNYJNCkatd9rzN,100,True
https://youtu.be/kAvTHsN4mL8?si=rOzPJ5Rq932-V2i3,101,True
https://youtu.be/CVm5DOKsqug?si=IyRCuYJlW2N7obh9,102,False
https://youtu.be/EOw-20nPEXc?si=LaqOqBzpaxj90Ysk,103,True
https://youtu.be/gDCb_0-sNTQ?si=KGC9GGPY0ZxUmGEv,104,True
https://youtu.be/GmUigGWJX3k?si=IClC63QdqCPY_Y6B,105,True
https://youtu.be/46r1FY-AASA?si=0QlCJHbDdi6zZCsR,106,True
https://youtu.be/hxZHhhsiZX8?si=uf8pAPAWW99X3vV-,107,True
https://youtu.be/kbyTQr_Nhn0?si=xA7UmYp-aqqXbcXb,108,True
https://youtu.be/I3fwWKSE6BA?si=8DQW9bOTL07zRxEL,109,True
https://youtu.be/InGpVgALELY?si=cGdggC_cJaPKE9dU,110,True
https://youtu.be/jX3fYSe9bJI?si=w680k8fD3C9n0NwV,111,True
https://youtu.be/VZ2o1q_Bxvs?si=OIylixR9iUgSmom1,112,True
https://youtu.be/2tBWzOBy2SA?si=L5DMgiZ-9wQFeI3b,113,True
https://youtu.be/8yOkyo8nOaE?si=-siRatSdpZTXEhGW,114,True
https://youtu.be/2-clZgtpzDQ?si=3GGMSfLGoXFKoc3s,115,True
https://youtu.be/3PJ5zc9DIy0?si=e5szHrVXCgK6dnjc,116,True
https://youtu.be/OSaikF4Db1k?si=4n0AsBZmYeHrJh9H,117,True
https://youtu.be/s0_QBhNGr9c?si=lH5DZWIvQtauIGv2,118,True
https://youtu.be/ePixZLFF5PI?si=jg3fzYv5Ox__JSyG,119,True
https://youtu.be/qO5vX6sGhzE?si=Sj8b-rwq6kqw_D6x,120,True
https://youtu.be/eaeF-SvdF_Y?si=NyDRKKJkyKm_tots,121,True
https://youtu.be/xsvGeB72kh8?si=bDae4NquzOnY1Jk4,122,True
https://youtu.be/d9ljnpGvgcQ?si=ddQd0_cIhK-VA3AW,123,True
https://youtu.be/wWXlUafCxgA?si=R6OwH0kwwuSE_1P4,124,False
https://youtu.be/BCcdhlj4Qkg?si=9xENq9ya3Jc5wXCD,125,True
https://youtu.be/jczAMzgGH0I?si=zqiM_iFD8pHKUtrk,126,True
https://youtu.be/PyT29IsALgA?si=4iVgWGcLlJAckPyg,127,True
https://youtu.be/RwYs74T-bjc?si=yGssVYX78stp7Z5c,128,True
https://youtu.be/1hq0_9mVEwc?si=eYpXZzzvXIfmxlcS,129,True
https://youtu.be/0KhpieFH9XM?si=MXUQgsoviNEEdcEK,130,True
https://youtu.be/yTjLs3lE3a8?si=FNVUwXw7fJ6cuZE_,131,True
https://youtu.be/r2_eU44GeIg?si=zeKBl0CYXtQQbWGA,132,True
https://youtu.be/PCiVH--YNGE?si=hYxm51Oik1kOoBwR,133,True
https://youtu.be/LVjM48X0Jvc?si=vnqX1_QabdGdq9mn,134,True
https://youtu.be/XaUIgeddM6U?si=JQ4q4VEN0dh1gYig,135,True
https://youtu.be/Mf6iiFM_rnQ?si=NLdcu6OIDjBqqX2W,136,True
https://youtu.be/YPg7D7UZuQA?si=QuuioSxpIwbaDCq4,137,True
https://youtu.be/SbaMYzIoyRc?si=JMBn1sjpAg1zPShR,138,True
https://youtu.be/gGzuFNr956A?si=NQLT1pRiuhj2kEfN,139,True
https://youtu.be/X7e3imYskIE?si=WtvxbMmiwUC1ZXuZ,140,True
https://youtu.be/15SIKRL5h2U?si=UvpTT3gM8Zwwb2PH,141,True
https://youtu.be/kFQ7X_i1Kb0?si=E9793-7CnTCZJSDa,142,True
https://youtu.be/zmm2LMU-VQg?si=yggoHXLSlrAoWLTR,143,True
https://youtu.be/HiZ2TtxCtyM?si=I9UBfgVHs6qLy18I,144,True
https://youtu.be/nqMkGqKdmbY?si=xaHz9gInJtGzUK2Z,145,False
https://youtu.be/q1awi1LJtu0?si=9RZ-2ai5kpi1Vtpj,146,False
https://youtu.be/Rpi5J4k8mAc?si=hcYTWaWadFbIgq3t,147,True
https://youtu.be/nCmWKMluzjs?si=lSF56dBnb5l2wOUk,148,True
